drug_master_usage_id,drug_master_id
O|1*1A,PIOT15
O|1*1A,PIOT30
O|1*1PB,PLATQ
O|1*1P,POLT
BE|*1B,POLXO
O|1*1P,POTTC
O|1*3P,PRAT1
O|5*1H,PRATP
O|1*1PC,PREOS
O|1*1PB,PRET
O|1*1A1/2,PRETF15
O|1*1A1/2,PRETF30
O|1*1H,PRETG25
BE|*1B,PREXF
SC|0.5*DOC,PROIQ
O|1*1H,PROTG1
O|1*1H,PROTG2
O|1*1PB,PROTG25
O|1*Q12,PROTGR1
O|1*3P,PROTP1
O|1*3P,PROTP4
O|1*1H,PROTV1
DC|*2BD,PROXO
DC|*2BD,PROXTP
DC|*2BD,PROXTP3
O|1*2P,PTUTG
NB|*TD,PULXR5
TB|1*2,PULXT2
O|*CBD,PURO
O|1*2P,PURT
O|*DOC,PZAO
O|3*1H,PZATG
O|1*1H,QUETN100
O|1*2P,RANTCL1
O|1*1PB,RAPT1
DC|*H,RBH
O|1*1H,REMT
DRTAH|*D121W,RETX53
O|1*1A,REVTL2
SS|1*2,RHIXA
O|*DOC,RIFO
O|2*1H,RIFT3G
O|1*1H,RIFT4G
O|1*1H,RIFT6G
O|5*1H,RIFTF
O|1*1H,RISO100
O|1*1H,RISTGPO1
O|1*1H,RISTGPO2
O|1*1PB,RITT
O|1*1P,RITTL2
O|1*1H,RIVT2
O|1*1H,RIVT5
O|1*1PD,ROSTV1
O|1*2A15,ROXTRO1
O|1*1PB,RUPTF
O|2*2P,SABT
SC|*1H,SAIIL
O|*3P,SALOE
O|*3P,SALOS
O|2*2P,SALT
O|1*3A,SALTO5
IH|1*NULL,SALXB
|*DOC,SALXE
|*TD,SALXN
O|*CBD,SANO
O|1*1PB,SANT1
O|1*1PB,SANT2
OD|3*4,SB2.5D
OD|3*Q6,SBG
O|1*1C,SELTS
O|2*1H,SENT
O|1*1PB,SERTO
O|1*1H,SERTS50
O|1*1H,SERTXR150
IH|1*2,SERXE2512
IH|1*2,SERXE2525
IH|1*2,SERXE2550
IH|1*2,SERXF25125
IH|1*2,SERXTA1
IH|1*2,SERXTA2
IH|1*2,SERXTA5
O|1*3P,SHO
VC|1*HS,SIE2G
O|1*3P,SILTS20
O|1*1/2S,SILTT100
O|*3P,SIMOC
O|1*1PD,SIMTB1
O|1*1PD,SIMTB2
SP|*OD,SIMXS
O|1*1H,SINO
CH|1*1H,SINTG5
DS|*1,SIPX50
O|1*3P,SIRT
DBB|*2,SKIX
OP|1*2,SMEO
MW|*4P,SMW25
O|1*3P,SODT
O|1*3P,SODTCL
CH|1*,SODTF25
DS|*1,SPEX60
O|*4P,SPIO
O|1*3P,SPIT2
IH|1*OD,SPIX
IH|1*2,SPIXRES
TV|*2BH,ST20
O|1*1PB,STRT25
O|1*1PB,STRT40
O|*HKT2,SUCOS
O|*3P,SUDODPF
O|1*3P,SUDT60
CL|*2BD,SULXS25
TB|1*2,SYMX1
TB|1*2,SYMX8
TB|1*2,SYMXF
IH|1*2,SYMXR
EO|*H,TACXO
BP|*H,TACXO/2
O|1*2P,TAMTB
SP|*EOD,TAR200
OD|6*2,TARX
BE|1*4,TEAXF
O|*2P,TEGO
O|1*1PB,TEGTC4
O|*2P,TELO
EO|*H,TERX
OM|1*Q4,THRTSIL
O|1*1PB,THYT50
O|1*1PB,THYTX
O|1*1PB,TIGT1
BE|1*4,TOBXD
O|1*3P,TOLTS
O|1*1H,TOPTA1
O|1*1H,TOPTA2
O|1*1H,TOPTA5
DH|*2BD,TOPXC
SC|*UB,TOUI
O|1*3P,TRATS
O|1*1H,TRATZ050
SC|*UB,TREIS
DRTAH|*D121W,TREX25
O|1*1PB,TRITF
O|1*1PD,TRITT
DC|*2BD,TRIX2
DC|*2BD,TRIXM
DC|*2BD,TRIXSP
DC|*2BD,TRIXT5
DC|*2BD,TRIXT30
O|1*2A,UNAT7
EC|*1HDOC,UNIXE
|*DOC,URSO
O|1*1H,URSTL
O|2*1P,VALT450
O|1*1H,VALTD25
|*BBB,VASX1
DABC|*2,VASXT
IM|0.5*DOC,VAXIT
O|1*3A,VB6T
O|1*1PB,VB6T1
O|1*2P,VCTTG5
|*DOC,VD2O
O|1*1P,VD2T
O|1*2P,VETTN
O|1*2P,VETTN4
O|1*2P,VIMTP1
BE|1*4,VISXL
O|1*1PB,VITTA
O|1*3P,VITTB1
O|1*1PB,VITTB2
O|1*2P,VITTC1
-,VIVTV1
BE|*1B,VIVX
O|1*Q12,VORTS2
O|1*1PD,VYTT
O|1*1PD,VYTT2
DFFO|*1H,WFO
DH|*2BD,XAMX
-,XARTR20
-,XARTR40
O|1*1PB,XIGT5
O|1*1PB,XIGT10
|*DOC,XOLI
O|1*1H,XYZT
MP|*3A,XZG
DC|*2BD,ZALX
O|1*1PB,ZBET
O|1*1M,ZINTC
O|1*1PB,ZNC100
DY|*2BD,ZNPX3
O|*1,ZNSO
O|1*OD,ZOLTO5
O|1*1H,ZONT
O|1*1PB,ZZABATLM63
O|*2,ZZAZTO
O|1*1PB,ZZCLOTGPO
IJ|*TD,ZZDIPI1
O|1*1C,ZZEDUT
O|1*1H,ZZGPOTVT
SC|*IUE,ZZHEMIH4
SC|*IUE,ZZHEMIP4
O|*2,ZZLAMO
O|*Q12,ZZLOPOR8
O|2*Q12,ZZLOPTR25
O|1*1PB,ZZTENTEM
O|1*Q12,ZZVORTS2
O|1*Q12,ZZZIL
-,30053485
